Analysis sample rate,Artist 7dID,Artist familiarity,Artist hotness,Artist ID,Artist latitude,Artist location,Artist longitude,Artist name,Audio MD5,Number of beats,Danceability,Duration,End of fade in,Energy,loudness,release,release 7dID,Hotness,SongID,Start of fade out,Tempo,Title,TrackID,Track 7dID,Year
22050.0,165270,0.5817937658450281,0.4019975433642836,ARD7TVE1187B99BFB1,,California - LA,,Casual,a222795e07cd65b7a530f1346f520649,344,0.0,218.93179,0.247,0.0,-11.197,Fear Itself,300848,0.6021199899057548,SOMZWCG12A8C13C480,218.932,92.198,I Didn't Mean To,TRAAAAW128F429D538,3401791,0

22050.0,1998,0.6306300375898077,0.4174996449709784,ARMJAGH1187FB546F3,35.14968,Memphis- TN,-90.04892,The Box Tops,bb9771eeef3d5b204a3c55e690f52a91,296,0.0,148.03546,0.148,0.0,-9.843,Dimensions,300822,,SOCIWDW12A8C13D406,137.915,121.274,Soul Deep,TRAAABD128F429CF47,3400270,1969

22050.0,290021,0.4873567909281477,0.34342837829688244,ARKRRTF1187B9984DA,,,,Sonora Santanera,fa329738005ca53715d9f7381a0d1fe3,291,0.0,177.47546,0.282,0.0,-9.689,Las Numero 1 De La Sonora Santanera,514953,,SOXVLOJ12AB0189215,172.304,100.07,Amor De Cabaret,TRAAADZ128F9348C2E,5703798,0

22050.0,19072,0.6303823341467806,0.4542311565706205,AR7G5I41187FB4CE6C,,London- England,,Adam Ant,43cd1abd45d5a2dda16a3c65b4963bd4,462,0.0,233.40363,0.0,0.0,-9.013,Friend Or Foe,287650,,SONHOTT12A8C13493C,217.124,119.293,Something Girls,TRAAAEF128F4273421,3226795,1982

22050.0,30973,0.6510456608317947,0.40172368550367865,ARXR32B1187FB57099,,,,Gob,580a8fe08ef0f1c7734b84547d7a8bc7,444,0.0,209.60608,0.066,0.0,-4.501,Muertos Vivos,611336,0.6045007385888197,SOFSOCN12A8C143F5D,198.699,129.738,Face the Ashes,TRAAAFD128F92F423A,6795666,2007

22050.0,432935,0.5352927355118197,0.385470550555821,ARKFYS91187B98E58F,,,,Jeff And Sheri Easter,8ee90e90bb8714300574486f379effb5,633,0.0,267.7024,2.264,0.0,-9.323,Ordinary Day,41838,,SOYMRWW12A6D4FAB14,254.27,147.782,The Moon And I (Ordinary Day Album Version),TRAAAMO128F1481E7F,444964,0

22050.0,17970,0.5564956019129572,0.2619411773808474,ARD0S291187B9B7BF5,,Ohio,,Rated R,0e574964bf7a546a39e039f6e35aa48a,217,0.0,114.78159,0.096,0.0,-17.302,Da Ghetto Psychic,25824,,SOMJBYD12A6D4F8557,114.782,111.787,Keepin It Real (Skit),TRAAAMQ128F1460CD3,276593,0

22050.0,21128,0.8011364469966873,0.6055071356905752,AR10USD1187B99F3F1,,Burlington- Ontario- Canada,,Tweeterfriendly Music,1741d2c1bd271f10e783634f286746e2,313,0.0,189.57016,0.319,0.0,-11.642,Gin & Phonic,8876,,SOHKNRJ12A6701D1F8,181.023,101.43,Drop of Rain,TRAAAPK128E0786D96,90004,0

22050.0,276891,0.42666785706940524,0.33227574659906806,AR8ZCNI1187B9A069B,,,,Planet P Project,eda960ea61211d980653d589e8e74c1d,381,0.0,269.81832,5.3,0.0,-13.496,Pink World,358182,0.26586104921065007,SOIAZJW12AB01853F1,258.99,86.643,Pink World,TRAAARJ128F9320760,3996579,1984

